
 Replication 	 FitnessValue 	 Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6
Replication0	 0.00922	0.99919	0.99705 	1.00013 	1.00024 	0.99967 	1.00000 	1.00346 
Replication1	 0.02411	0.99950	1.00113 	1.00402 	1.00419 	1.00336 	1.00369 	1.00605 
Replication2	 0.01162	0.99922	0.99637 	1.00042 	1.00094 	0.99959 	1.00013 	1.00380 
Replication3	 0.00943	0.99917	0.99692 	0.99988 	0.99992 	0.99948 	0.99977 	1.00327 
Replication4	 0.01180	0.99927	0.99842 	1.00113 	1.00127 	1.00074 	1.00104 	1.00414 
Replication5	 0.02158	0.99945	1.00091 	1.00400 	1.00296 	1.00322 	1.00322 	1.00550 
Replication6	 0.01314	0.99929	0.99766 	1.00107 	1.00185 	1.00045 	1.00100 	1.00436 
Replication7	 0.01153	0.99914	0.99621 	0.99949 	0.99971 	0.99900 	0.99938 	1.00308 
Replication8	 0.00879	0.99918	0.99740 	1.00037 	0.99970 	0.99990 	0.99999 	1.00328 
Replication9	 0.00901	0.99917	0.99713 	0.99995 	0.99986 	0.99958 	0.99983 	1.00326 
Replication10	 0.01765	0.99940	1.00037 	1.00267 	1.00284 	1.00232 	1.00259 	1.00518 
Replication11	 0.02616	0.99951	1.00231 	1.00444 	1.00384 	1.00401 	1.00404 	1.00602 
Replication12	 0.01817	0.99940	1.00074 	1.00277 	1.00271 	1.00250 	1.00268 	1.00515 
Replication13	 0.01868	0.99940	0.99921 	1.00348 	1.00245 	1.00230 	1.00242 	1.00513 
Replication14	 0.01105	0.99927	1.00013 	1.00156 	1.00061 	1.00156 	1.00143 	1.00399 
Replication15	 0.01918	0.99942	1.00014 	1.00340 	1.00301 	1.00262 	1.00282 	1.00539 
Replication16	 0.01189	0.99916	0.99577 	0.99968 	1.00012 	0.99896 	0.99946 	1.00328 
Replication17	 0.01047	0.99922	0.99711 	1.00039 	1.00085 	0.99985 	1.00030 	1.00378 
Replication18	 0.02080	0.99945	1.00098 	1.00321 	1.00345 	1.00285 	1.00314 	1.00557 
Replication19	 0.01297	0.99930	0.99869 	1.00152 	1.00153 	1.00105 	1.00133 	1.00434 
Replication20	 0.01489	0.99906	0.99573 	0.99870 	0.99843 	0.99836 	0.99857 	1.00236 
Replication21	 0.01240	0.99929	0.99921 	1.00151 	1.00137 	1.00123 	1.00141 	1.00428 
Replication22	 0.01686	0.99937	0.99971 	1.00308 	1.00210 	1.00227 	1.00231 	1.00492 
Replication23	 0.03284	0.99961	1.00298 	1.00610 	1.00499 	1.00517 	1.00514 	1.00685 
Replication24	 0.02075	0.99942	1.00174 	1.00327 	1.00268 	1.00313 	1.00311 	1.00527 
Replication25	 0.01324	0.99931	0.99949 	1.00175 	1.00164 	1.00147 	1.00165 	1.00445 
Replication26	 0.02338	0.99946	1.00157 	1.00437 	1.00296 	1.00366 	1.00352 	1.00559 
Replication27	 0.01786	0.99941	0.99992 	1.00270 	1.00321 	1.00219 	1.00260 	1.00533 
Replication28	 0.01987	0.99942	1.00111 	1.00312 	1.00292 	1.00283 	1.00297 	1.00532 
Replication29	 0.01798	0.99938	1.00132 	1.00274 	1.00211 	1.00268 	1.00264 	1.00491 
Replication30	 0.01478	0.99935	0.99986 	1.00214 	1.00214 	1.00183 	1.00205 	1.00476 
Replication31	 0.00823	0.99919	0.99819 	1.00043 	0.99993 	1.00023 	1.00030 	1.00342 
Replication32	 0.00905	0.99921	0.99835 	1.00082 	1.00005 	1.00049 	1.00051 	1.00355 
Replication33	 0.00888	0.99922	0.99932 	1.00095 	1.00003 	1.00092 	1.00082 	1.00359 
Replication34	 0.01013	0.99924	0.99842 	1.00085 	1.00065 	1.00057 	1.00074 	1.00382 
Replication35	 0.01086	0.99914	0.99644 	0.99975 	0.99955 	0.99922 	0.99948 	1.00307 
Replication36	 0.02168	0.99944	1.00176 	1.00337 	1.00308 	1.00321 	1.00328 	1.00546 
Replication37	 0.00884	0.99920	0.99751 	1.00029 	1.00026 	0.99992 	1.00018 	1.00351 
Replication38	 0.02891	0.99955	1.00297 	1.00480 	1.00440 	1.00446 	1.00452 	1.00635 
Replication39	 0.01414	0.99933	0.99900 	1.00172 	1.00204 	1.00129 	1.00164 	1.00461 
Replication40	 0.00846	0.99920	0.99828 	1.00052 	1.00006 	1.00032 	1.00040 	1.00349 
Replication41	 0.01231	0.99927	0.99769 	1.00095 	1.00155 	1.00038 	1.00087 	1.00421 
Replication42	 0.01361	0.99911	0.99559 	0.99908 	0.99939 	0.99854 	0.99897 	1.00284 
Replication43	 0.01104	0.99914	0.99656 	0.99954 	0.99949 	0.99914 	0.99942 	1.00300 
Replication44	 0.01339	0.99930	0.99833 	1.00136 	1.00185 	1.00085 	1.00128 	1.00444 
Replication45	 0.01107	0.99925	0.99818 	1.00092 	1.00104 	1.00053 	1.00082 	1.00399 
Replication46	 0.01534	0.99936	0.99976 	1.00220 	1.00236 	1.00183 	1.00211 	1.00486 
Replication47	 0.01082	0.99923	0.99713 	1.00047 	1.00102 	0.99991 	1.00039 	1.00387 
Replication48	 0.01388	0.99932	0.99881 	1.00166 	1.00191 	1.00118 	1.00153 	1.00453 
Replication49	 0.01920	0.99940	1.00107 	1.00350 	1.00208 	1.00298 	1.00281 	1.00503 
Replication50	 0.02786	0.99954	1.00213 	1.00503 	1.00423 	1.00426 	1.00431 	1.00629 
Replication51	 0.00911	0.99921	0.99789 	1.00050 	1.00036 	1.00017 	1.00038 	1.00361 
Replication52	 0.01655	0.99903	0.99533 	0.99835 	0.99803 	0.99802 	0.99822 	1.00210 
Replication53	 0.00999	0.99916	0.99682 	0.99976 	0.99973 	0.99936 	0.99964 	1.00316 
Replication54	 0.02713	0.99952	1.00257 	1.00479 	1.00374 	1.00428 	1.00419 	1.00604 
Replication55	 0.02859	0.99954	1.00238 	1.00534 	1.00403 	1.00451 	1.00441 	1.00627 
Replication56	 0.00854	0.99917	0.99736 	1.00004 	0.99986 	0.99972 	0.99992 	1.00329 
Replication57	 0.02995	0.99956	1.00287 	1.00529 	1.00447 	1.00468 	1.00467 	1.00647 
Replication58	 0.01536	0.99935	0.99976 	1.00273 	1.00170 	1.00208 	1.00207 	1.00468 
Replication59	 0.01056	0.99924	0.99823 	1.00086 	1.00084 	1.00050 	1.00075 	1.00390 
Replication60	 0.01336	0.99931	1.00045 	1.00195 	1.00118 	1.00191 	1.00183 	1.00432 
Replication61	 0.01622	0.99936	0.99850 	1.00209 	1.00259 	1.00132 	1.00181 	1.00491 
Replication62	 0.01097	0.99923	0.99754 	1.00126 	1.00035 	1.00044 	1.00054 	1.00374 
Replication63	 0.01025	0.99924	0.99872 	1.00098 	1.00065 	1.00074 	1.00086 	1.00385 
Replication64	 0.00863	0.99918	0.99729 	1.00012 	1.00008 	0.99974 	1.00000 	1.00340 
Replication65	 0.02334	0.99947	1.00128 	1.00425 	1.00335 	1.00350 	1.00353 	1.00573 
Replication66	 0.01496	0.99935	0.99941 	1.00201 	1.00227 	1.00160 	1.00193 	1.00478 
Replication67	 0.01038	0.99924	0.99774 	1.00065 	1.00085 	1.00022 	1.00055 	1.00385 
Replication68	 0.01414	0.99932	0.99907 	1.00188 	1.00186 	1.00139 	1.00166 	1.00456 
Replication69	 0.01119	0.99927	0.99918 	1.00130 	1.00093 	1.00109 	1.00118 	1.00405 
Replication70	 0.01110	0.99926	0.99832 	1.00098 	1.00103 	1.00061 	1.00088 	1.00400 
Replication71	 0.01535	0.99936	0.99968 	1.00217 	1.00238 	1.00178 	1.00208 	1.00486 
Replication72	 0.02545	0.99949	1.00282 	1.00401 	1.00352 	1.00395 	1.00393 	1.00581 
Replication73	 0.01100	0.99924	0.99796 	1.00111 	1.00070 	1.00053 	1.00072 	1.00387 
Replication74	 0.01018	0.99913	0.99719 	0.99963 	0.99910 	0.99941 	0.99949 	1.00287 
Replication75	 0.01606	0.99936	1.00038 	1.00279 	1.00176 	1.00235 	1.00228 	1.00473 
Replication76	 0.01004	0.99923	0.99751 	1.00051 	1.00075 	1.00006 	1.00041 	1.00377 
Replication77	 0.01493	0.99907	0.99549 	0.99875 	0.99874 	0.99831 	0.99862 	1.00250 
Replication78	 0.02440	0.99948	1.00228 	1.00383 	1.00362 	1.00366 	1.00375 	1.00580 
Replication79	 0.01991	0.99943	1.00098 	1.00306 	1.00313 	1.00276 	1.00298 	1.00540 
Replication80	 0.01210	0.99914	0.99592 	0.99940 	0.99979 	0.99885 	0.99930 	1.00309 
Replication81	 0.00829	0.99919	0.99850 	1.00050 	0.99981 	1.00038 	1.00037 	1.00339 
Replication82	 0.01292	0.99930	0.99859 	1.00137 	1.00165 	1.00094 	1.00129 	1.00436 
Replication83	 0.01352	0.99913	0.99535 	0.99916 	0.99980 	0.99852 	0.99907 	1.00303 
Replication84	 0.01101	0.99925	0.99829 	1.00099 	1.00096 	1.00060 	1.00085 	1.00397 
Replication85	 0.01541	0.99905	0.99572 	0.99857 	0.99815 	0.99828 	0.99843 	1.00221 
Replication86	 0.02349	0.99950	1.00045 	1.00421 	1.00415 	1.00321 	1.00355 	1.00605 
Replication87	 0.00881	0.99918	0.99720 	1.00009 	1.00011 	0.99969 	0.99998 	1.00340 
Replication88	 0.01513	0.99935	0.99977 	1.00225 	1.00218 	1.00185 	1.00207 	1.00479 
Replication89	 0.01464	0.99934	0.99948 	1.00198 	1.00215 	1.00160 	1.00189 	1.00472 
Replication90	 0.00915	0.99921	0.99762 	1.00040 	1.00041 	1.00003 	1.00030 	1.00361 
Replication91	 0.01968	0.99942	1.00068 	1.00365 	1.00250 	1.00294 	1.00289 	1.00523 
Replication92	 0.02283	0.99947	1.00145 	1.00355 	1.00378 	1.00322 	1.00348 	1.00579 
Replication93	 0.01726	0.99939	1.00044 	1.00261 	1.00264 	1.00231 	1.00252 	1.00508 
Replication94	 0.01087	0.99916	0.99629 	0.99968 	1.00005 	0.99914 	0.99958 	1.00327 
Replication95	 0.01191	0.99913	0.99627 	0.99937 	0.99940 	0.99895 	0.99926 	1.00293 
Replication96	 0.02805	0.99954	1.00175 	1.00550 	1.00403 	1.00436 	1.00430 	1.00628 
Replication97	 0.01163	0.99915	0.99599 	0.99951 	0.99997 	0.99895 	0.99941 	1.00319 
Replication98	 0.01330	0.99931	0.99982 	1.00217 	1.00123 	1.00179 	1.00175 	1.00437 
Replication99	 0.03868	0.99969	1.00435 	1.00709 	1.00592 	1.00623 	1.00615 	1.00749 
Replication100	 0.01088	0.99925	0.99792 	1.00080 	1.00100 	1.00037 	1.00070 	1.00395 
Replication101	 0.01144	0.99927	0.99874 	1.00118 	1.00109 	1.00087 	1.00108 	1.00408 
Replication102	 0.01140	0.99915	0.99614 	0.99954 	0.99989 	0.99901 	0.99944 	1.00317 
Replication103	 0.01413	0.99931	0.99875 	1.00199 	1.00163 	1.00132 	1.00153 	1.00447 
Replication104	 0.01886	0.99940	1.00041 	1.00366 	1.00223 	1.00283 	1.00273 	1.00511 
Replication105	 0.01543	0.99910	0.99476 	0.99880 	0.99954 	0.99810 	0.99870 	1.00283 
Replication106	 0.00903	0.99921	0.99774 	1.00043 	1.00035 	1.00008 	1.00032 	1.00359 
Replication107	 0.00967	0.99917	0.99679 	0.99985 	0.99996 	0.99941 	0.99974 	1.00328 
Replication108	 0.02190	0.99946	1.00102 	1.00374 	1.00339 	1.00314 	1.00330 	1.00565 
Replication109	 0.01385	0.99910	0.99560 	0.99901 	0.99922 	0.99851 	0.99890 	1.00276 
Replication110	 0.01238	0.99927	0.99739 	1.00085 	1.00161 	1.00022 	1.00077 	1.00421 
Replication111	 0.01753	0.99905	0.99453 	0.99828 	0.99861 	0.99771 	0.99817 	1.00232 
Replication112	 0.01781	0.99940	1.00032 	1.00292 	1.00267 	1.00243 	1.00261 	1.00515 
Replication113	 0.01683	0.99939	1.00020 	1.00253 	1.00269 	1.00218 	1.00245 	1.00508 
Replication114	 0.02225	0.99945	1.00203 	1.00347 	1.00305 	1.00336 	1.00338 	1.00548 
Replication115	 0.01671	0.99936	1.00101 	1.00267 	1.00174 	1.00251 	1.00240 	1.00472 
Replication116	 0.01104	0.99926	0.99868 	1.00110 	1.00095 	1.00080 	1.00099 	1.00400 
Replication117	 0.01321	0.99932	0.99992 	1.00190 	1.00156 	1.00170 	1.00179 	1.00446 
Replication118	 0.01222	0.99927	0.99873 	1.00183 	1.00070 	1.00119 	1.00117 	1.00404 
Replication119	 0.01107	0.99925	0.99785 	1.00081 	1.00108 	1.00035 	1.00071 	1.00398 
Replication120	 0.04073	0.99971	1.00504 	1.00766 	1.00576 	1.00677 	1.00647 	1.00755 
Replication121	 0.01110	0.99918	0.99624 	0.99982 	1.00041 	0.99922 	0.99973 	1.00345 
Replication122	 0.01366	0.99930	0.99839 	1.00173 	1.00158 	1.00105 	1.00133 	1.00439 
Replication123	 0.01085	0.99926	0.99883 	1.00112 	1.00086 	1.00086 	1.00101 	1.00397 
Replication124	 0.01548	0.99907	0.99526 	0.99865 	0.99875 	0.99818 	0.99853 	1.00248 
Replication125	 0.01307	0.99931	0.99974 	1.00181 	1.00153 	1.00159 	1.00171 	1.00443 
Replication126	 0.00956	0.99919	0.99694 	1.00010 	1.00038 	0.99962 	1.00000 	1.00351 
Replication127	 0.02413	0.99951	1.00071 	1.00422 	1.00429 	1.00332 	1.00367 	1.00612 
Replication128	 0.01621	0.99938	0.99966 	1.00230 	1.00269 	1.00186 	1.00223 	1.00502 
Replication129	 0.03709	0.99965	1.00452 	1.00697 	1.00498 	1.00619 	1.00585 	1.00706 
Replication130	 0.03471	0.99964	1.00368 	1.00616 	1.00540 	1.00547 	1.00549 	1.00707 
Replication131	 0.00867	0.99920	0.99757 	1.00029 	1.00020 	0.99994 	1.00017 	1.00349 
Replication132	 0.01145	0.99927	0.99859 	1.00113 	1.00111 	1.00079 	1.00103 	1.00408 
Replication133	 0.02270	0.99945	1.00207 	1.00354 	1.00318 	1.00342 	1.00346 	1.00555 
Replication134	 0.00937	0.99919	0.99702 	1.00011 	1.00032 	0.99965 	1.00001 	1.00349 
Replication135	 0.04004	0.99973	1.00365 	1.00736 	1.00690 	1.00615 	1.00637 	1.00795 
Replication136	 0.00916	0.99916	0.99713 	0.99991 	0.99978 	0.99956 	0.99979 	1.00322 
Replication137	 0.01265	0.99929	0.99857 	1.00132 	1.00156 	1.00090 	1.00123 	1.00431 
Replication138	 0.01505	0.99934	0.99957 	1.00246 	1.00181 	1.00188 	1.00197 	1.00467 
Replication139	 0.01337	0.99932	0.99966 	1.00183 	1.00166 	1.00157 	1.00173 	1.00448 
Replication140	 0.01320	0.99929	0.99786 	1.00116 	1.00185 	1.00057 	1.00108 	1.00438 
Replication141	 0.01723	0.99939	1.00049 	1.00260 	1.00259 	1.00232 	1.00252 	1.00506 
Replication142	 0.03815	0.99967	1.00449 	1.00718 	1.00536 	1.00630 	1.00604 	1.00727 
Replication143	 0.01639	0.99936	1.00052 	1.00294 	1.00164 	1.00247 	1.00233 	1.00471 
Replication144	 0.01869	0.99942	1.00017 	1.00308 	1.00309 	1.00248 	1.00276 	1.00536 
Replication145	 0.01304	0.99930	0.99874 	1.00145 	1.00167 	1.00104 	1.00136 	1.00439 
Replication146	 0.01333	0.99911	0.99578 	0.99911 	0.99927 	0.99862 	0.99899 	1.00281 
Replication147	 0.01560	0.99937	0.99988 	1.00228 	1.00244 	1.00192 	1.00220 	1.00492 
Replication148	 0.01809	0.99940	0.99969 	1.00303 	1.00286 	1.00226 	1.00253 	1.00524 
Replication149	 0.01616	0.99937	0.99953 	1.00225 	1.00269 	1.00178 	1.00217 	1.00501 
Replication150	 0.00988	0.99923	0.99802 	1.00067 	1.00062 	1.00032 	1.00056 	1.00376 
Replication151	 0.01382	0.99932	0.99889 	1.00163 	1.00193 	1.00120 	1.00155 	1.00454 
Replication152	 0.02610	0.99948	1.00336 	1.00413 	1.00325 	1.00420 	1.00402 	1.00573 
Replication153	 0.01726	0.99940	1.00003 	1.00260 	1.00300 	1.00216 	1.00253 	1.00523 
Replication154	 0.01017	0.99923	0.99785 	1.00065 	1.00075 	1.00025 	1.00055 	1.00381 
Replication155	 0.00957	0.99922	0.99751 	1.00043 	1.00058 	1.00001 	1.00033 	1.00368 
Replication156	 0.01160	0.99926	0.99793 	1.00092 	1.00126 	1.00044 	1.00083 	1.00408 
Replication157	 0.01868	0.99941	1.00041 	1.00317 	1.00278 	1.00260 	1.00275 	1.00525 
Replication158	 0.01027	0.99924	0.99823 	1.00081 	1.00073 	1.00048 	1.00070 	1.00384 
Replication159	 0.02980	0.99954	1.00334 	1.00557 	1.00358 	1.00496 	1.00460 	1.00615 
Replication160	 0.02499	0.99950	1.00168 	1.00425 	1.00396 	1.00368 	1.00384 	1.00601 
Replication161	 0.01202	0.99929	1.00016 	1.00172 	1.00095 	1.00167 	1.00160 	1.00417 
Replication162	 0.00830	0.99916	0.99772 	1.00001 	0.99946 	0.99982 	0.99988 	1.00312 
Replication163	 0.01114	0.99921	0.99648 	1.00015 	1.00092 	0.99950 	1.00007 	1.00375 
Replication164	 0.01662	0.99906	0.99482 	0.99845 	0.99872 	0.99791 	0.99834 	1.00241 
Replication165	 0.01317	0.99932	0.99989 	1.00188 	1.00154 	1.00168 	1.00177 	1.00445 
Replication166	 0.01307	0.99931	0.99975 	1.00181 	1.00153 	1.00159 	1.00171 	1.00443 
Replication167	 0.02648	0.99953	1.00182 	1.00436 	1.00453 	1.00381 	1.00410 	1.00629 
Replication168	 0.02071	0.99943	1.00132 	1.00320 	1.00312 	1.00296 	1.00312 	1.00543 
Replication169	 0.01501	0.99935	1.00015 	1.00223 	1.00207 	1.00198 	1.00213 	1.00475 
Replication170	 0.01324	0.99930	0.99834 	1.00134 	1.00180 	1.00084 	1.00126 	1.00441 
Replication171	 0.02447	0.99950	1.00176 	1.00383 	1.00410 	1.00349 	1.00377 	1.00599 
Replication172	 0.01619	0.99937	0.99936 	1.00231 	1.00259 	1.00175 	1.00211 	1.00497 
Replication173	 0.01125	0.99926	0.99806 	1.00091 	1.00112 	1.00048 	1.00081 	1.00402 
Replication174	 0.01081	0.99926	0.99923 	1.00125 	1.00078 	1.00107 	1.00113 	1.00397 
Replication175	 0.02382	0.99947	1.00189 	1.00406 	1.00334 	1.00363 	1.00363 	1.00571 
Replication176	 0.01511	0.99905	0.99574 	0.99864 	0.99829 	0.99833 	0.99851 	1.00229 
Replication177	 0.02113	0.99944	1.00113 	1.00366 	1.00296 	1.00312 	1.00316 	1.00544 
Replication178	 0.02236	0.99899	0.99333 	0.99747 	0.99795 	0.99682 	0.99735 	1.00184 
Replication179	 0.04077	0.99971	1.00519 	1.00742 	1.00597 	1.00671 	1.00651 	1.00760 
Replication180	 0.01372	0.99912	0.99538 	0.99910 	0.99963 	0.99849 	0.99900 	1.00295 
Replication181	 0.02027	0.99942	1.00155 	1.00313 	1.00275 	1.00299 	1.00304 	1.00527 
Replication182	 0.00851	0.99919	0.99802 	1.00050 	0.99981 	1.00020 	1.00024 	1.00337 
Replication183	 0.01472	0.99934	0.99944 	1.00198 	1.00218 	1.00159 	1.00189 	1.00473 
Replication184	 0.00974	0.99920	0.99700 	1.00017 	1.00048 	0.99968 	1.00007 	1.00357 
Replication185	 0.01560	0.99908	0.99497 	0.99869 	0.99912 	0.99810 	0.99858 	1.00263 
Replication186	 0.01405	0.99909	0.99565 	0.99894 	0.99903 	0.99848 	0.99883 	1.00267 
Replication187	 0.01089	0.99923	0.99713 	1.00074 	1.00084 	1.00004 	1.00041 	1.00384 
Replication188	 0.01206	0.99925	0.99775 	1.00174 	1.00041 	1.00077 	1.00077 	1.00386 
Replication189	 0.01698	0.99908	0.99427 	0.99850 	0.99935 	0.99776 	0.99841 	1.00268 
Replication190	 0.02433	0.99947	1.00221 	1.00432 	1.00302 	1.00387 	1.00370 	1.00563 
Replication191	 0.01211	0.99925	0.99681 	1.00086 	1.00126 	1.00000 	1.00051 	1.00404 
Replication192	 0.01454	0.99934	0.99970 	1.00231 	1.00175 	1.00184 	1.00193 	1.00461 
Replication193	 0.01662	0.99938	0.99985 	1.00276 	1.00241 	1.00216 	1.00234 	1.00499 
Replication194	 0.00874	0.99920	0.99772 	1.00037 	1.00025 	1.00004 	1.00026 	1.00353 
Replication195	 0.01837	0.99940	1.00081 	1.00280 	1.00272 	1.00255 	1.00271 	1.00516 
Replication196	 0.01184	0.99927	0.99799 	1.00098 	1.00134 	1.00050 	1.00089 	1.00413 
Replication197	 0.03914	0.99970	1.00491 	1.00632 	1.00664 	1.00606 	1.00628 	1.00768 
Replication198	 0.01562	0.99934	0.99830 	1.00221 	1.00204 	1.00129 	1.00162 	1.00468 
Replication199	 0.02745	0.99951	1.00292 	1.00481 	1.00358 	1.00441 	1.00424 	1.00599 
Replication200	 0.01441	0.99933	0.99881 	1.00170 	1.00216 	1.00121 	1.00162 	1.00465 
Replication201	 0.02061	0.99943	1.00135 	1.00318 	1.00306 	1.00296 	1.00310 	1.00540 
Replication202	 0.03828	0.99967	1.00429 	1.00747 	1.00521 	1.00638 	1.00603 	1.00725 
Replication203	 0.01910	0.99941	1.00095 	1.00292 	1.00286 	1.00267 	1.00284 	1.00526 
Replication204	 0.04351	0.99976	1.00501 	1.00826 	1.00660 	1.00711 	1.00694 	1.00803 
Replication205	 0.01099	0.99924	0.99783 	1.00129 	1.00041 	1.00057 	1.00065 	1.00378 
Replication206	 0.02690	0.99953	1.00146 	1.00533 	1.00383 	1.00415 	1.00409 	1.00615 
Replication207	 0.01968	0.99942	1.00004 	1.00399 	1.00259 	1.00289 	1.00286 	1.00531 
Replication208	 0.01162	0.99926	0.99744 	1.00074 	1.00134 	1.00017 	1.00066 	1.00407 
Replication209	 0.01417	0.99933	0.99912 	1.00177 	1.00203 	1.00136 	1.00169 	1.00462 
Replication210	 0.01192	0.99927	0.99781 	1.00093 	1.00139 	1.00041 	1.00084 	1.00414 
Replication211	 0.03245	0.99960	1.00329 	1.00588 	1.00480 	1.00515 	1.00509 	1.00674 
Replication212	 0.02361	0.99946	1.00244 	1.00370 	1.00318 	1.00364 	1.00361 	1.00559 
Replication213	 0.00890	0.99921	0.99782 	1.00043 	1.00029 	1.00011 	1.00032 	1.00356 
Replication214	 0.00818	0.99919	0.99768 	1.00024 	1.00001 	0.99995 	1.00013 	1.00340 
Replication215	 0.00976	0.99923	0.99834 	1.00076 	1.00053 	1.00048 	1.00065 	1.00375 
Replication216	 0.02240	0.99948	0.99970 	1.00433 	1.00364 	1.00298 	1.00322 	1.00583 
Replication217	 0.02991	0.99959	1.00147 	1.00576 	1.00499 	1.00443 	1.00462 	1.00674 
Replication218	 0.01942	0.99943	1.00061 	1.00297 	1.00327 	1.00258 	1.00290 	1.00543 
Replication219	 0.01404	0.99933	0.99936 	1.00184 	1.00195 	1.00148 	1.00175 	1.00460 
Replication220	 0.00955	0.99920	0.99714 	1.00022 	1.00045 	0.99976 	1.00012 	1.00357 
Replication221	 0.00969	0.99922	0.99765 	1.00051 	1.00061 	1.00010 	1.00040 	1.00371 
Replication222	 0.02105	0.99945	1.00040 	1.00379 	1.00335 	1.00294 	1.00314 	1.00562 
Replication223	 0.01154	0.99927	0.99884 	1.00124 	1.00111 	1.00094 	1.00113 	1.00411 
Replication224	 0.02182	0.99897	0.99389 	0.99745 	0.99739 	0.99699 	0.99732 	1.00161 
Replication225	 0.03228	0.99960	1.00304 	1.00575 	1.00507 	1.00501 	1.00507 	1.00683 
Replication226	 0.01768	0.99940	1.00013 	1.00302 	1.00264 	1.00241 	1.00257 	1.00515 
Replication227	 0.00846	0.99919	0.99749 	1.00019 	1.00007 	0.99986 	1.00008 	1.00341 
Replication228	 0.01328	0.99909	0.99616 	0.99903 	0.99876 	0.99870 	0.99890 	1.00258 
Replication229	 0.03369	0.99961	1.00388 	1.00601 	1.00483 	1.00544 	1.00531 	1.00679 
Replication230	 0.01589	0.99909	0.99469 	0.99869 	0.99936 	0.99801 	0.99859 	1.00273 
Replication231	 0.02048	0.99942	1.00098 	1.00402 	1.00222 	1.00323 	1.00300 	1.00519 
Replication232	 0.01113	0.99922	0.99651 	1.00017 	1.00093 	0.99951 	1.00008 	1.00375 
Replication233	 0.02215	0.99946	1.00144 	1.00344 	1.00354 	1.00315 	1.00337 	1.00567 
Replication234	 0.01257	0.99926	0.99762 	1.00180 	1.00058 	1.00076 	1.00081 	1.00395 
Replication235	 0.01298	0.99930	0.99892 	1.00150 	1.00162 	1.00113 	1.00141 	1.00438 
Replication236	 0.01815	0.99938	1.00138 	1.00291 	1.00193 	1.00278 	1.00265 	1.00486 
Replication237	 0.01120	0.99927	0.99882 	1.00117 	1.00099 	1.00089 	1.00107 	1.00404 
Replication238	 0.02378	0.99948	1.00204 	1.00372 	1.00361 	1.00352 	1.00365 	1.00577 
Replication239	 0.01510	0.99935	0.99917 	1.00194 	1.00236 	1.00148 	1.00186 	1.00479 
Replication240	 0.02308	0.99945	1.00198 	1.00398 	1.00292 	1.00361 	1.00349 	1.00552 
Replication241	 0.01940	0.99942	0.99967 	1.00382 	1.00258 	1.00266 	1.00270 	1.00527 
Replication242	 0.00993	0.99923	0.99816 	1.00072 	1.00062 	1.00040 	1.00062 	1.00377 
Replication243	 0.01073	0.99922	0.99693 	1.00082 	1.00057 	0.99999 	1.00030 	1.00373 
Replication244	 0.01031	0.99925	0.99895 	1.00107 	1.00063 	1.00087 	1.00095 	1.00387 
Replication245	 0.01415	0.99933	0.99965 	1.00229 	1.00153 	1.00180 	1.00184 	1.00451 
Replication246	 0.00932	0.99918	0.99693 	1.00001 	1.00018 	0.99956 	0.99990 	1.00341 
Replication247	 0.01543	0.99908	0.99506 	0.99872 	0.99908 	0.99815 	0.99861 	1.00262 
Replication248	 0.03601	0.99963	1.00408 	1.00703 	1.00464 	1.00604 	1.00564 	1.00691 
Replication249	 0.01237	0.99928	0.99804 	1.00109 	1.00153 	1.00059 	1.00100 	1.00423 
Replication250	 0.01384	0.99909	0.99573 	0.99903 	0.99897 	0.99855 	0.99885 	1.00266 
Replication251	 0.02417	0.99948	1.00172 	1.00432 	1.00336 	1.00370 	1.00368 	1.00576 
Replication252	 0.01514	0.99936	0.99986 	1.00224 	1.00222 	1.00189 	1.00211 	1.00481 
Replication253	 0.01593	0.99937	0.99944 	1.00217 	1.00262 	1.00171 	1.00210 	1.00496 
Replication254	 0.01052	0.99915	0.99669 	0.99964 	0.99960 	0.99925 	0.99953 	1.00308 
Replication255	 0.02064	0.99944	1.00042 	1.00371 	1.00320 	1.00290 	1.00307 	1.00554 
Replication256	 0.00998	0.99914	0.99701 	0.99972 	0.99947 	0.99940 	0.99959 	1.00304 
Replication257	 0.01104	0.99914	0.99649 	0.99955 	0.99959 	0.99913 	0.99944 	1.00305 
Replication258	 0.00884	0.99919	0.99729 	1.00016 	1.00018 	0.99977 	1.00005 	1.00345 
Replication259	 0.02615	0.99952	1.00160 	1.00456 	1.00428 	1.00383 	1.00403 	1.00621 
Replication260	 0.01424	0.99934	0.99972 	1.00200 	1.00197 	1.00170 	1.00191 	1.00465 
Replication261	 0.01471	0.99907	0.99569 	0.99876 	0.99859 	0.99838 	0.99863 	1.00244 
Replication262	 0.00979	0.99922	0.99754 	1.00048 	1.00066 	1.00005 	1.00038 	1.00373 
Replication263	 0.01064	0.99924	0.99742 	1.00058 	1.00098 	1.00007 	1.00049 	1.00388 
Replication264	 0.00925	0.99916	0.99717 	0.99987 	0.99966 	0.99955 	0.99975 	1.00316 
Replication265	 0.01197	0.99912	0.99639 	0.99933 	0.99918 	0.99896 	0.99920 	1.00283 
Replication266	 0.01511	0.99934	0.99824 	1.00160 	1.00248 	1.00097 	1.00154 	1.00475 
Replication267	 0.01381	0.99932	0.99882 	1.00161 	1.00194 	1.00116 	1.00152 	1.00454 
