
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 -1.48822	0.99796	0.97072 	0.98168 	0.98861 	0.97955 	0.98477 	1.00294 	-0.20776 	-0.12471 	-0.19103 	0.01978 	0.00000 	0.50989 	-0.06842 	-0.04107 	-0.06291 	0.01607 	0.00000 	0.17729 	0.00618	0.02096
Replication1	 -1.47820	0.99777	0.96966 	0.97819 	0.98661 	0.97724 	0.98290 	1.00225 	-0.17957 	-0.19037 	-0.20363 	0.02132 	0.00000 	0.55916 	-0.05916 	-0.06272 	-0.06709 	0.01726 	0.00000 	0.19549 	0.00691	0.02378
Replication2	 -1.42595	0.99744	0.95745 	0.97102 	0.98347 	0.96876 	0.97638 	1.00091 	-0.26404 	-0.21419 	-0.18849 	0.02661 	0.00000 	0.65105 	-0.08705 	-0.07061 	-0.06214 	0.02196 	0.00000 	0.23431 	0.01094	0.03647
Replication3	 -1.51901	0.99840	0.97936 	0.98656 	0.99440 	0.98556 	0.99019 	1.00457 	-0.15006 	-0.14801 	-0.10861 	0.01585 	0.00000 	0.39472 	-0.04938 	-0.04870 	-0.03574 	0.01294 	0.00000 	0.13388 	0.00388	0.01300
Replication4	 -1.52498	0.99828	0.98374 	0.98763 	0.99143 	0.98771 	0.99129 	1.00417 	-0.09579 	-0.14149 	-0.20363 	0.01469 	0.00536 	0.42423 	-0.03153 	-0.04657 	-0.06702 	0.01156 	0.00176 	0.14397 	0.00337	0.01217
Replication5	 -1.51099	0.99813	0.97886 	0.98384 	0.99060 	0.98381 	0.98828 	1.00361 	-0.11945 	-0.18082 	-0.17636 	0.01712 	0.00000 	0.46395 	-0.03933 	-0.05953 	-0.05806 	0.01372 	0.00000 	0.15870 	0.00444	0.01550
Replication6	 -1.50697	0.99809	0.97695 	0.98376 	0.99003 	0.98303 	0.98756 	1.00347 	-0.14521 	-0.15463 	-0.18673 	0.01761 	0.00000 	0.47370 	-0.04781 	-0.05091 	-0.06148 	0.01414 	0.00000 	0.16256 	0.00474	0.01650
Replication7	 -1.45219	0.99771	0.96238 	0.97511 	0.98685 	0.97288 	0.97990 	1.00195 	-0.24721 	-0.19217 	-0.15377 	0.02394 	0.00000 	0.57817 	-0.08146 	-0.06332 	-0.05067 	0.01978 	0.00000 	0.20528 	0.00895	0.02962
Replication8	 -1.54188	0.99883	0.98699 	0.99536 	0.99745 	0.99334 	0.99712 	1.00607 	-0.15543 	-0.02735 	-0.14176 	0.01087 	0.02922 	0.28661 	-0.05110 	-0.00899 	-0.04661 	0.00874 	0.00961 	0.09566 	0.00216	0.00731
Replication9	 -1.53421	0.99855	0.98464 	0.99115 	0.99479 	0.98999 	0.99321 	1.00511 	-0.12771 	-0.08458 	-0.15492 	0.01311 	0.00000 	0.35682 	-0.04201 	-0.02782 	-0.05096 	0.01046 	0.00000 	0.11979 	0.00272	0.00945
Replication10	 -1.52859	0.99872	0.98115 	0.99170 	0.99779 	0.98906 	0.99310 	1.00569 	-0.18944 	-0.05709 	-0.07810 	0.01349 	0.00000 	0.31434 	-0.06229 	-0.01877 	-0.02568 	0.01117 	0.00000 	0.10578 	0.00320	0.01020
Replication11	 -1.55854	0.99913	0.99552 	0.99920 	1.00104 	0.99854 	1.00034 	1.00714 	-0.07312 	-0.04738 	-0.09623 	0.00754 	0.00000 	0.21010 	-0.02403 	-0.01557 	-0.03162 	0.00596 	0.00000 	0.06845 	0.00091	0.00319
Replication12	 -1.51530	0.99835	0.97869 	0.98519 	0.99420 	0.98457 	0.98952 	1.00441 	-0.14338 	-0.17685 	-0.09845 	0.01647 	0.00000 	0.40639 	-0.04719 	-0.05820 	-0.03240 	0.01347 	0.00000 	0.13822 	0.00416	0.01391
Replication13	 -1.48277	0.99797	0.96938 	0.98006 	0.98936 	0.97829 	0.98474 	1.00297 	-0.21350 	-0.16635 	-0.15677 	0.02051 	0.01505 	0.50767 	-0.07031 	-0.05478 	-0.05163 	0.01683 	0.00496 	0.17707 	0.00661	0.02213
Replication14	 -1.51791	0.99837	0.97913 	0.98654 	0.99359 	0.98554 	0.99075 	1.00445 	-0.15708 	-0.14324 	-0.13339 	0.01589 	0.01879 	0.40299 	-0.05169 	-0.04714 	-0.04390 	0.01292 	0.00618 	0.13700 	0.00395	0.01339
Replication15	 -1.45993	0.99772	0.96498 	0.97514 	0.98689 	0.97393 	0.98116 	1.00202 	-0.21419 	-0.22576 	-0.16003 	0.02331 	0.01067 	0.57434 	-0.07057 	-0.07439 	-0.05273 	0.01917 	0.00352 	0.20296 	0.00834	0.02795
Replication16	 -1.48981	0.99798	0.97109 	0.98211 	0.98874 	0.97992 	0.98504 	1.00301 	-0.20772 	-0.11829 	-0.19269 	0.01955 	0.00000 	0.50521 	-0.06841 	-0.03896 	-0.06346 	0.01587 	0.00000 	0.17551 	0.00606	0.02056
Replication17	 -1.56245	0.99928	0.99951 	1.00267 	1.00145 	1.00199 	1.00342 	1.00761 	-0.06077 	-0.00392 	-0.13264 	0.00537 	0.01748 	0.17508 	-0.01996 	-0.00129 	-0.04357 	0.00406 	0.00574 	0.05732 	0.00060	0.00230
Replication18	 -1.51981	0.99839	0.98154 	0.98520 	0.99457 	0.98572 	0.99093 	1.00454 	-0.10592 	-0.21722 	-0.09665 	0.01576 	0.01087 	0.39697 	-0.03485 	-0.07148 	-0.03180 	0.01283 	0.00358 	0.13460 	0.00382	0.01288
Replication19	 -1.50492	0.99832	0.97420 	0.98547 	0.99356 	0.98301 	0.98815 	1.00426 	-0.20990 	-0.10870 	-0.11020 	0.01741 	0.00000 	0.41636 	-0.06908 	-0.03577 	-0.03627 	0.01437 	0.00000 	0.14296 	0.00498	0.01621
Replication20	 -1.51915	0.99833	0.98081 	0.98542 	0.99350 	0.98547 	0.99004 	1.00432 	-0.11428 	-0.18857 	-0.12218 	0.01596 	0.00000 	0.41292 	-0.03761 	-0.06206 	-0.04021 	0.01292 	0.00000 	0.14010 	0.00385	0.01315
Replication21	 -1.50405	0.99829	0.97447 	0.98413 	0.99358 	0.98241 	0.98782 	1.00415 	-0.19054 	-0.15017 	-0.09638 	0.01780 	0.00000 	0.42432 	-0.06271 	-0.04943 	-0.03172 	0.01469 	0.00000 	0.14567 	0.00503	0.01651
Replication22	 -1.51174	0.99818	0.97895 	0.98371 	0.99169 	0.98381 	0.98853 	1.00380 	-0.11836 	-0.19649 	-0.14763 	0.01707 	0.00000 	0.44980 	-0.03896 	-0.06468 	-0.04860 	0.01377 	0.00000 	0.15361 	0.00440	0.01514
Replication23	 -1.49106	0.99805	0.97099 	0.98270 	0.98984 	0.98025 	0.98569 	1.00328 	-0.21910 	-0.11290 	-0.17220 	0.01928 	0.00521 	0.48569 	-0.07214 	-0.03718 	-0.05670 	0.01575 	0.00172 	0.16859 	0.00599	0.02003
Replication24	 -1.50973	0.99824	0.97709 	0.98409 	0.99262 	0.98334 	0.98834 	1.00399 	-0.15120 	-0.17291 	-0.12464 	0.01730 	0.00000 	0.43603 	-0.04977 	-0.05691 	-0.04103 	0.01410 	0.00000 	0.14903 	0.00457	0.01542
Replication25	 -1.50434	0.99842	0.97362 	0.98685 	0.99475 	0.98356 	0.98869 	1.00460 	-0.23577 	-0.07436 	-0.09323 	0.01700 	0.00000 	0.39141 	-0.07758 	-0.02447 	-0.03068 	0.01413 	0.00000 	0.13464 	0.00505	0.01606
Replication26	 -1.51743	0.99836	0.97843 	0.98742 	0.99325 	0.98563 	0.98990 	1.00441 	-0.17148 	-0.10095 	-0.14541 	0.01584 	0.00000 	0.40598 	-0.05643 	-0.03322 	-0.04785 	0.01286 	0.00000 	0.13811 	0.00400	0.01346
Replication27	 -1.53522	0.99871	0.98504 	0.99057 	0.99766 	0.99009 	0.99532 	1.00568 	-0.12913 	-0.14466 	-0.08456 	0.01289 	0.03318 	0.31494 	-0.04246 	-0.04757 	-0.02781 	0.01055 	0.01091 	0.10530 	0.00267	0.00892
Replication28	 -1.55403	0.99898	0.99312 	0.99753 	0.99931 	0.99670 	0.99872 	1.00663 	-0.08599 	-0.04904 	-0.11941 	0.00876 	0.00000 	0.24694 	-0.02826 	-0.01612 	-0.03925 	0.00691 	0.00000 	0.08111 	0.00124	0.00438
Replication29	 -1.50960	0.99828	0.97614 	0.98531 	0.99284 	0.98364 	0.98849 	1.00413 	-0.17917 	-0.12936 	-0.13017 	0.01709 	0.00000 	0.42621 	-0.05897 	-0.04258 	-0.04284 	0.01396 	0.00000 	0.14576 	0.00459	0.01533
